REVIEW ID,SOURCE,REVIEW BY,REVIEW DATE,REVIEW SUBJECT,text,REVIEW RATING,REVIEW TYPE
814,Trip Advisor,maryd1928,1/2/13,Don't miss this Bangalore Temp,Don't miss this Gaudiya Vaishnava Temple located at rajajinager in the north of Bangalore. It is one of the largest Iskcon Temples in the world and was well worth a visit - very impressive. The main shrine is very beautiful and the icons are magnificant. It is open to all religions and none and has a fastrack area for foreigners which was great for those of us on a tight sightseeing schedule.One of the nicest temples I have visited in all of India and well worth a visit - dont miss it if you are,5,POSITIVE
1181,Trip Advisor,maryd1928,1/2/13,Don't miss this Bangalore Temple,Don't miss this Gaudiya Vaishnava Temple located at rajajinager in the north of Bangalore. It is one of the largest Iskcon Temples in the world and was well worth a visit - very impressive. The main shrine is very beautiful and the icons are magnificant. It is open to all religions and none and has a fastrack area for foreigners which was great for those of us on a tight sightseeing schedule.One of the nicest temples I have visited in all of India and well worth a visit - dont miss it if you are in the area.,5,POSITIVE
813,Trip Advisor,shoubhik,1/5/13,peacefull and devotional,This was my 2nd visit to the temple.. last time it took us 45mins to rush through the whole thing.. this time I took over an hour.. I went with my friend and spent some peaceful time there. ample parking space. there was a hotel which is maintained by ISKCON.. u need to have membership to stay in it..we entered the temple after depositing our shoes. photography isn't allowed inside the temple.. although u can take as many once you are out..to get inside u need to follow a line.. first u need to,4,POSITIVE
1182,Trip Advisor,shoubhik,1/5/13,peacefull and devotional,"This was my 2nd visit to the temple.. last time it took us 45mins to rush through the whole thing.. this time I took over an hour.. I went with my friend and spent some peaceful time there. ample parking space. there was a hotel which is maintained by ISKCON.. u need to have membership to stay in it..we entered the temple after depositing our shoes. photography isn't allowed inside the temple.. although u can take as many once you are out..to get inside u need to follow a line.. first u need to chant aloud ""hare hare Krishna Krishna, Krishna Krishna hare hare"" 108 times.. for that you are given a leaflet in which the following words are written in all the Indian languages and also English. next u need to stand on a tile and move on chanting once per tile.. so there are 108 tiles before you enter.. this is the only ""rate limiting"" area if you are in a hurry.. so if you are in a hurry, your ""hare"" starts sounding like ""hurry""..:Pnext we entered the huge temple.. it's brilliant inside.. the frescoes on the ceiling are breath taking.. there's an area inside the temple where you are allowed to sit for as long as you want.. we reached around 4:30 and waited till 6:30 for the ""arati"".. don't miss the arati.. it's beautiful..:)next we got out.. there's only one way to get out from inside the temple.. it's necessary to go through the devotional market selling devotional art and merchandise.. as you go out you are given ""Prasad"". the temple looks beautiful at night..",4,POSITIVE
812,Trip Advisor,onthemoveBangalore,1/10/13,Huge and Grand,"The Iskcon temple is a rather grand and imposing structure. It is well maintained and very clean and the arrangemtns for entering the Temple and going into the sanctum is very orderly. You get a feeling of sacredness inside. The temple has a very good system of serving prasadam whish is a bit of food that has been offered to the GODS. The prasadam is tasty, of very high quality and made in a clean and hygenic manner. A good place to visit",5,POSITIVE
1183,Trip Advisor,onthemoveBangalore,1/10/13,Huge and Grand,"The Iskcon temple is a rather grand and imposing structure. It is well maintained and very clean and the arrangemtns for entering the Temple and going into the sanctum is very orderly. You get a feeling of sacredness inside. The temple has a very good system of serving prasadam whish is a bit of food that has been offered to the GODS. The prasadam is tasty, of very high quality and made in a clean and hygenic manner. A good place to visit",5,POSITIVE
808,Trip Advisor,RobertBorchers,1/12/13,Interesting temple for foreign,Interesting temple with lots of shop. Very different and interesting for christian foreigners to see the merchandising of Krishna.,4,POSITIVE
1184,Trip Advisor,RobertBorchers,1/12/13,Interesting temple for foreigners,Interesting temple with lots of shop. Very different and interesting for christian foreigners to see the merchandising of Krishna.,4,POSITIVE
762,Trip Advisor,shariffmim,1/14/13,peace..,"had been to dis place with my frnds and got to see some beautiful paintings and idols.... its well maintend and very clean ... its huge..temple has openning hours (only open in morning and evening after 3p.m)..if you are hungry better have food before you enter, coz its gud to njoy each and every step starting from the gate, rather than hurrying up.... theres a restuarnt close to the temple and serves good food for reasonbl pric...you get inside with security check and den handover yo shoes r sa",5,POSITIVE
1185,Trip Advisor,shariffmim,1/14/13,peace..,"had been to dis place with my frnds and got to see some beautiful paintings and idols.... its well maintend and very clean ... its huge..temple has openning hours (only open in morning and evening after 3p.m)..if you are hungry better have food before you enter, coz its gud to njoy each and every step starting from the gate, rather than hurrying up.... theres a restuarnt close to the temple and serves good food for reasonbl pric...you get inside with security check and den handover yo shoes r sandls and take a coupon(cameras strictly not allowed).... den wlk and you get to see some nycly maintaind lawns and garden (looks great in the evening)....once you get to the top you will be given a sheet which syas ""hare rama hare rama ramarama hare hare, hare krishna hare krishna krishna krishna hare hare""... and you follow a que... you will have to walk on tiles..... stand on a tile and move on chanting once per tile(108 tiles)...you get inisde the main temple and its ""WOW"" very beautiful,.... dont miss out the arathi.. and you can sit der for as longh as you want,, the idols in side and worth watching..and you set out and get inside the small market maintained by the temple and if you wanna buy idols, holly books, paintings, wooden idols, books and bags with krishna's print on dem...and then you walk thriugh small stalls of sweets and chatts they are realli tasty but costly...now time for prashad and thats the end...",5,POSITIVE
770,Trip Advisor,anandram74,1/18/13,most serene place in heart of,the best place to meditate in heart of the city and the maintenance is simply excellent. this temple reflects the true indian culture and a person not visiting this temple will be missing alife time experience,5,POSITIVE
1186,Trip Advisor,anandram74,1/18/13,most serene place in heart of the city,the best place to meditate in heart of the city and the maintenance is simply excellent. this temple reflects the true indian culture and a person not visiting this temple will be missing alife time experience,5,POSITIVE
771,Trip Advisor,Gopalvk,2/2/13,Must visit,"This is more than just a temple. The architecture, magnificence, and site design is excellent. Every detail has been thought about including crowd management. The devotional music played inside the temple touches you. In addition to the temple the Prasad and lunch etc. are top class. Also the site has rooms to stay as well as a hall to be used for functions. Beyond all this a visit to this site is peaceful and fulfilling",5,POSITIVE
1187,Trip Advisor,Gopalvk,2/2/13,Must visit,"This is more than just a temple. The architecture, magnificence, and site design is excellent. Every detail has been thought about including crowd management. The devotional music played inside the temple touches you. In addition to the temple the Prasad and lunch etc. are top class. Also the site has rooms to stay as well as a hall to be used for functions. Beyond all this a visit to this site is peaceful and fulfilling",5,POSITIVE
782,Trip Advisor,kadhi_pritesh,2/5/13,Shantii!!!,this place is very beautiful and also very peaceful place. Arti of ISKCON is very very the best and also their prasad is alos very good. and its very clean place.,5,POSITIVE
1188,Trip Advisor,kadhi_pritesh,2/5/13,Shantii!!!,this place is very beautiful and also very peaceful place. Arti of ISKCON is very very the best and also their prasad is alos very good. and its very clean place.,5,POSITIVE
773,Trip Advisor,AR R,2/7/13,Great ... Fantastic and specia,,5,POSITIVE
1189,Trip Advisor,AR R,2/7/13,Great ... Fantastic and special,,5,POSITIVE
778,Trip Advisor,Minxieve,2/8/13,Blessed feeling,"I had visited the temple on a week day and it was a very lovely experience. As the sun went down, we stepped inside the huge hall where the sound of the bhajans filled the air. There is a very peaceful feeling once you stand before the deities. Don't forget to sit down for some time on the floor and meditate.",5,POSITIVE
1190,Trip Advisor,Minxieve,2/8/13,Blessed feeling,"I had visited the temple on a week day and it was a very lovely experience. As the sun went down, we stepped inside the huge hall where the sound of the bhajans filled the air. There is a very peaceful feeling once you stand before the deities. Don't forget to sit down for some time on the floor and meditate.",5,POSITIVE
784,Trip Advisor,npk123,2/10/13,One of the best for Iskcon?,For many years Bangalore Iskcon has been a wonderful example of what I believe the founder wanted. Despite the very divisive politics both in India and internationally this place retains it's ambience and qualities. Of course this temple is renowned for it's food program to supply the hungry poor with a hot nutritious meal offered to the deity beforehand and using it's solar kitchen. Another great example of sustainable technology in the energy used and the food supplied. Of course the place rem,4,POSITIVE
1191,Trip Advisor,npk123,2/10/13,One of the best for Iskcon?,For many years Bangalore Iskcon has been a wonderful example of what I believe the founder wanted. Despite the very divisive politics both in India and internationally this place retains it's ambience and qualities. Of course this temple is renowned for it's food program to supply the hungry poor with a hot nutritious meal offered to the deity beforehand and using it's solar kitchen. Another great example of sustainable technology in the energy used and the food supplied. Of course the place remains a great attraction and a place of interest for Bangaloreans and visitors alike.,4,POSITIVE
785,Trip Advisor,sujaashwin,2/12/13,blissful ..,"though ISKCON temple is become very commericialised .. & ppl there are very biased (i.e, if u pay 100rs per person u get a spcl darshan) but the moment u reach the sanctum ur truly taken into a blissful mood . the only thing that u keep humming would be the ""hare krishna"" mantra",4,MIXED
1192,Trip Advisor,sujaashwin,2/12/13,blissful ..,"though ISKCON temple is become very commericialised .. & ppl there are very biased (i.e, if u pay 100rs per person u get a spcl darshan) but the moment u reach the sanctum ur truly taken into a blissful mood . the only thing that u keep humming would be the ""hare krishna"" mantra",4,MIXED
804,Trip Advisor,lulupearl,2/13/13,Interesting to see the temple,"Really fascinating visit, although to top off a visit for adults with a cartoon about a blue guy called Krishna was a bit absurd.",4,POSITIVE
1194,Trip Advisor,lulupearl,2/13/13,Interesting to see the temple given my memory of the Hare Krisna in N. American airports,"Really fascinating visit, although to top off a visit for adults with a cartoon about a blue guy called Krishna was a bit absurd.",4,POSITIVE
786,Trip Advisor,Sri_Giriraj,2/13/13,Excellent ..Well Maintained..,,5,POSITIVE
1193,Trip Advisor,Sri_Giriraj,2/13/13,Excellent ..Well Maintained..,,5,POSITIVE
135,Google + HK HILL,Jigar Patel,2/15/13,,Great peaceful atmosphere with an unique architecture as well an unique method to bring you inside of it. Really nice place.,5,POSITIVE
761,Trip Advisor,lulupearl,2/16/13,Had no idea what it was about,"Asked our driver to take us to a temple-so we ended up here. We had no idea what It was no one explained anything, very disappointed with whole experience , we were taken to one side as they wanted to sign us up for paying for food for 12 months but didn't do this to any Indian visitors , they were very pushy asking for dollars and credit card .",2,NEGATIVE
1195,Trip Advisor,lulupearl,2/16/13,Had no idea what it was about,"Asked our driver to take us to a temple-so we ended up here. We had no idea what It was no one explained anything, very disappointed with whole experience , we were taken to one side as they wanted to sign us up for paying for food for 12 months but didn't do this to any Indian visitors , they were very pushy asking for dollars and credit card .",2,NEGATIVE
789,Trip Advisor,Vs N,2/20/13,Pretty disappointing experienc,"I visited the temple in January 2013. At first sight, you cannot but notice the strict security controls. The path to the temple is clearly through many steps and everything is commercialised. One has to perforce chant the Hare krishna mantra, even if one does not wish to, forced by the Hare Krishna monks, who thrust a card into your hands in one of the stations inside. There is a special darshan for people who can pay cash of Rs 500, which is atrocious. The entry to the temple is regulated at e",1,NEGATIVE
